Domain	n_seqs	mean_length	cv_length	mean_entropy	frac_conserved
EF-hand	364	35.43956043956044	0.06563836475864868	2.2931554672628045	0.35802469135802467
EGF-like	242	37.15289256198347	0.11236191854556733	2.243187490973289	0.25925925925925924
LIM zinc-binding	144	58.541666666666664	0.07412735361111386	2.538013446640888	0.275
Sushi	135	60.87407407407407	0.04094918840182361	2.7820013883843218	0.2625
SH	128	61.3984375	0.03049340349046138	2.6961687761349373	0.25
LRRCT	101	50.71287128712871	0.11282796494663429	2.233001056101638	0.3875
IQ	87	28.597701149425287	0.11265066924751914	1.9807490891382828	0.36363636363636365
SH3	87	60.85057471264368	0.03137217905859718	2.594908049750736	0.25
bHLH	82	53.646341463414636	0.033745997799158496	2.372058809085906	0.25
SAM	68	64.61764705882354	0.02600827424153236	2.662743053724541	0.25
Laminin EGF-like	58	52.8448275862069	0.10339695256610268	2.3981370058474467	0.275
Beta/gamma crystallin 'Greek key'	58	42.58620689655172	0.07837119761984039	2.1176963001305618	0.2716049382716049
F-box	57	47.85964912280702	0.06542613348188595	2.5346373645420774	0.25925925925925924
Kazal-like	54	56.53703703703704	0.09157317016973389	2.555989888911533	0.25
Tudor	51	59.450980392156865	0.0363844732731441	2.60042361033861	0.25
UBA	51	42.15686274509804	0.07160676220669622	2.348473445221822	0.25925925925925924
KH	47	57.12765957446808	0.2148617522556099	2.243926278345765	0.25
WW	43	34.093023255813954	0.010611425092840413	1.8984775277172152	0.39436619718309857
TSP type-1	43	56.395348837209305	0.05987481183035728	2.304404189922461	0.25
bZIP	42	63.666666666666664	0.018980669469632793	2.095147481010529	0.275
LRRNT	38	33.578947368421055	0.15210223879571322	1.8046160652110816	0.325
SANT	36	53.22222222222222	0.0805856328418321	2.3468843067137586	0.25
CBS	36	60.5	0.032478859841739934	2.4427139374645095	0.25
LDL-receptor class A	35	37.371428571428574	0.09271276574040245	2.105770307085029	0.32
Ig-like C2-type	35	61.91428571428571	0.0701764426403584	2.3409580319795973	0.25
VWFC	29	59.89655172413793	0.05637797661413974	2.414376866574117	0.2625
BTB	29	62.41379310344828	0.10789193811035706	2.233052711694815	0.2625
PSI	29	50.13793103448276	0.09007265773724842	2.3234145410321565	0.2625
FF	27	57.55555555555556	0.055817885308111805	2.3607232587527336	0.25
J	27	64.0	0.048673075586375646	1.9476206943856258	0.2875
SAP	23	32.608695652173914	0.19113694915775264	1.608748461461244	0.40540540540540543
Chromo	21	54.857142857142854	0.19796234852917152	2.034572292117354	0.25
EGF-like 2; calcium-binding	21	42.285714285714285	0.08942604367608929	1.9456327121243102	0.30864197530864196
BPTI/Kunitz inhibitor	21	52.0	0.0459703311282459	2.0624844604110697	0.25
LisH	20	33.0	0.0	1.7918248442031763	0.4
CHCH	19	43.578947368421055	0.05384902611016413	2.2807922093854645	0.24691358024691357
FHA	19	56.89473684210526	0.07940523120767783	2.3673214317657356	0.2625
PWWP	19	60.421052631578945	0.07388279706843215	1.9747682964930064	0.3
DHHC	19	51.10526315789474	0.008738703783973812	1.9169831868943041	0.2716049382716049
EGF-like 5; calcium-binding	18	40.611111111111114	0.07484037957094354	1.7552085471715142	0.35526315789473684
HTH myb-type	18	55.05555555555556	0.07072935987436955	2.069022206673634	0.25
I-EGF	16	39.375	0.10770282827738015	1.6404521969043313	0.325
EGF-like 3; calcium-binding	16	41.6875	0.07572327615696786	1.7749294825589423	0.34177215189873417
SOCS box	15	51.46666666666667	0.12285912643916451	1.9985686740042954	0.25
Fibronectin type-II	15	48.53333333333333	0.021102048757880795	1.482371701529145	0.34210526315789475
Myosin N-terminal SH3-like	15	51.266666666666666	0.029767290356982046	1.976597200925364	0.25925925925925924
SMB	14	44.857142857142854	0.07142567354141977	2.0357996579469106	0.25925925925925924
t-SNARE coiled-coil homology	13	63.0	0.0	2.197790923288802	0.25
MIR	13	57.15384615384615	0.05610945783492822	2.1642431474463857	0.25
Orange	12	34.666666666666664	0.05565306203264532	1.5065997236739364	0.4264705882352941
COS	12	58.833333333333336	0.011680185908265327	1.9980305059247878	0.25
WAP	12	48.833333333333336	0.05342141925767415	1.9695825269238558	0.2716049382716049
EGF-like 6; calcium-binding	11	40.54545454545455	0.08371369821791241	1.6908443328909175	0.3246753246753247
CUE	11	43.72727272727273	0.01018498853548099	1.996671672180603	0.2716049382716049
JmjN	10	42.6	0.011499951844052479	1.2107314796382558	0.4057971014492754
TSP type-	10	52.5	0.11049260961731942	1.776367325650731	0.275
EGF-like 4; calcium-binding	10	42.2	0.07326836414094931	1.6154435636904547	0.3783783783783784
CAP-Gly	10	42.5	0.0699975283794989	1.6974864308666007	0.3108108108108108
TB	10	53.6	0.014925373134328356	2.0388137120239853	0.2625
